"","DepthClass","source","x","y","mlra_UCRB_m","us_eco_l3_m","iwahashiLF_m","ca_mosaic_m","cc_mosaic_m","ci_mosaic_m","cs_mosaic_m","dah_mosaic_m","gmph_mosaic_m","lc_mosaic_m","mbi_mosaic_m","mc_mosaic_m","mca_mosaic_m","mrrtf_mosaic_m","mrvbf_mosaic_m","planc_mosaic_m","po_mosaic_m","profc_mosaic_m","sl_mosaic_m","spi_mosaic_m","swi_mosaic_m","tc_mosaic_m","tpi_mosaic_m","tri_mosaic_m","tsc_mosaic_m","twi_mosaic_m","L43_med_m","L43_std_m","L51_med_m","L54_med_m","L57_med_m","TIR_med_m","TIR_std_m","SDT","BDRICM_M_250m_ll_m","BDRLOG_M_250m_ll_m","BDTICM_M_250m_ll_m","CAlog_10_rs_m","EASTNESS_rs_m","ELEVm_m","LFELEMS_m","NENESS_rs_m","NWNESS_rs_m","ppt_ann_rs_m","ppt_ratio_rs_m","PROTINDEX_rs_m","RELHT1_rs_m","RELHT128_rs_m","RELHT16_rs_m","RELHT2_rs_m","RELHT32_rs_m","RELHT4_rs_m","RELHT64_rs_m","RELHT8_rs_m","RELMNHT1_rs_m","RELMNHT128_rs_m","RELMNHT16_rs_m","RELMNHT2_rs_m","RELMNHT32_rs_m","RELMNHT64_rs_m","RELMNHT8_rs_m","SOUTHNESS_rs_m","temp_ann_rs_m","gammaAbsbDose_m","gammaPotassium_m","gammaThorium_m","gammaUranium_m"
"7487","VD","KSSL",-1251441.13120383,1416432.85157566,"45","22","2",3388.56469726562,0.000145302430610172,5.96285438537598,0.0136625813320279,0.0085629615932703,1,6.99382653692737e-05,0.0105602024123073,-4.85407981614117e-05,2815411.25,3.79263830184937,6.64454650878906,0.00508138444274664,1.56925439834595,7.64401102060219e-06,1.15233969688416,67.9094619750977,9.80805587768555,4.32256115345808e-08,0.10754606127739,2.5427417755127,60.5400238037109,12.0335302352905,0.122246071696281,0.0585168264806271,0.519227981567383,0.111456073820591,0.0556826330721378,303.200012207031,13.8937835693359,49,200,9,2904,3.45133519172668,-0.763406157493591,1629.48974609375,100,-0.0830761268734932,0.996543169021606,236.035003662109,4.58378458023071,0.00564995966851711,0.244873046875,33.530517578125,12.938720703125,0.551025390625,24.48974609375,1.1632080078125,28.9591064453125,4.48974609375,0,4.4324951171875,1.9105224609375,0.0172119140625,5.6270751953125,6.9228515625,0.453125,-0.645918726921082,1267.02526855469,54.1223373413086,1.10162925720215,8.75472259521484,2.87736964225769
"7488","VD","KSSL",-1257131.72423547,1417836.99413492,"45","22","4",4345.80224609375,-0.000125805760035291,-1.53099858760834,0.039889570325613,0.0248192884027958,1,3.93561495002359e-05,-0.00391721958294511,-0.000127168255858123,1289914.375,3.72515463829041,6.57308721542358,-0.00166788918431848,1.56468343734741,2.5882089175866e-05,2.32296299934387,175.412780761719,8.41791152954102,6.447285016975e-08,-0.00558568956330419,3.87049770355225,45.8696746826172,11.5641622543335,0.120435267686844,0.0257612615823746,0.481645345687866,0.0839941874146461,0.0473274067044258,304.399993896484,12.8611927032471,50,200,9,2611,3.63428854942322,-0.999627649784088,1606.02038574219,100,-0.687548339366913,0.726138651371002,229.805465698242,4.64970874786377,0.0128312930464745,1.1224365234375,21.7755126953125,9.5101318359375,2.2041015625,11.5714111328125,4.0203857421875,17.4285888671875,5.734619140625,0.028564453125,-3.2203369140625,0.8509521484375,0.069091796875,2.0272216796875,3.0672607421875,0.5322265625,-0.027287445962429,1278.671875,55.1288681030273,1.17068040370941,8.3700532913208,3.08564639091492
"7489","VD","KSSL",-1261948.09496332,1376584.43621031,"45","22","4",1491.81335449219,0.00024956013658084,26.9335117340088,0.00627273181453347,-0.00715172989293933,1,0.000308759859763086,0.0271476823836565,8.25653041829355e-05,362190.71875,4.86636018753052,0.15642212331295,0.0192695483565331,1.57230794429779,0.000160485767992213,0.649588227272034,17.6047840118408,9.46362590789795,4.51540564938568e-08,0.291074335575104,2.91224908828735,54.056453704834,11.7959470748901,0.157777369022369,0.0628894940018654,0.535003840923309,0.0921863466501236,0.0670649483799934,300.899993896484,13.7083673477173,48,200,18,3417,3.06527256965637,0.498910784721375,1700.26525878906,100,0.965599715709686,0.260033220052719,272.215148925781,5.00570106506348,0.00299560138955712,0.4080810546875,59.2652587890625,7.448974609375,0.938720703125,17.2652587890625,2.18359375,41.9183349609375,4.591796875,0.0653076171875,15.9432373046875,2.2579345703125,0.1663818359375,2.6990966796875,10.9403076171875,1.38427734375,-0.866653323173523,1225.24560546875,40.0040435791016,0.874841034412384,5.87162590026855,2.27834272384644
"7490","VD","KSSL",-1201505.35413197,1381248.82200943,"45","22","3",21206.93359375,-0.000173708802321926,-1.95185697078705,0.0667573511600494,0.0226775109767914,8,-7.1088201366365e-05,-0.0118041383102536,-0.000160123687237501,408052.34375,0.441464751958847,2.7898964881897,-0.00236842618323863,1.56473684310913,-4.01833822252229e-05,2.00273537635803,737.490051269531,7.34342861175537,3.86261618245953e-08,-0.21435983479023,7.74161624908447,29.3897933959961,13.3088178634644,0.149646177887917,0.0317715667188168,0.538814604282379,0.106961168348789,0.0575229898095131,300.450012207031,13.0357131958008,43,200,9,3863,3.97055578231812,-0.0905274897813797,1774.69384765625,100,-0.768215954303741,-0.640190780162811,261.561309814453,4.72783374786377,0.0297970864921808,1.244873046875,47.448974609375,7.244873046875,2.346923828125,7.2652587890625,4.10205078125,38.5714111328125,6,-0.03271484375,-5.378662109375,-6.0606689453125,-0.0894775390625,-10.8623046875,-8.4251708984375,-1.949951171875,0.995893955230713,1164.09228515625,47.6099395751953,1.58177852630615,5.98291873931885,1.90819811820984
"7491","VD","KSSL",-1201505.35413197,1381248.82200943,"45","22","3",21206.93359375,-0.000173708802321926,-1.95185697078705,0.0667573511600494,0.0226775109767914,8,-7.1088201366365e-05,-0.0118041383102536,-0.000160123687237501,408052.34375,0.441464751958847,2.7898964881897,-0.00236842618323863,1.56473684310913,-4.01833822252229e-05,2.00273537635803,737.490051269531,7.34342861175537,3.86261618245953e-08,-0.21435983479023,7.74161624908447,29.3897933959961,13.3088178634644,0.149646177887917,0.0317715667188168,0.538814604282379,0.106961168348789,0.0575229898095131,300.450012207031,13.0357131958008,43,200,9,3863,3.97055578231812,-0.0905274897813797,1774.69384765625,100,-0.768215954303741,-0.640190780162811,261.561309814453,4.72783374786377,0.0297970864921808,1.244873046875,47.448974609375,7.244873046875,2.346923828125,7.2652587890625,4.10205078125,38.5714111328125,6,-0.03271484375,-5.378662109375,-6.0606689453125,-0.0894775390625,-10.8623046875,-8.4251708984375,-1.949951171875,0.995893955230713,1164.09228515625,47.6099395751953,1.58177852630615,5.98291873931885,1.90819811820984
"7492","MD","KSSL",-1040649.96574561,2132159.7515899,"43","18","4",78979.15625,-0.000840933760628104,-18.7440090179443,0.0408588275313377,0.0199937596917152,7,-0.000489538360852748,-0.0616416484117508,-0.000656254182104021,90497,3.94433975219727,2.68657827377319,-0.0139370318502188,1.5580837726593,-0.000218227200093679,1.70088648796082,2258.93798828125,7.06897163391113,4.22165186364509e-07,-0.362946301698685,5.95212364196777,50.1504135131836,14.6366586685181,0.108061157166958,0.0575093328952789,0.490734398365021,0.157396346330643,0.0737373307347298,295.100006103516,17.8414096832275,39,200,4,1399,4.94713544845581,0.4747274518013,2135.91845703125,100,-0.28666490316391,-0.958030939102173,169.232711791992,3.97086358070374,0.0177799332886934,0.8369140625,97.53076171875,14.367431640625,1.69384765625,35.244873046875,3.367431640625,59.10205078125,6.51025390625,-0.0693359375,29.58447265625,-1.8115234375,-0.18212890625,0.39453125,8.28173828125,-1.474853515625,0.880132913589478,562.392700195312,51.6612739562988,1.49361133575439,7.54026317596436,2.08687734603882
"7493","VD","KSSL",-995471.432727044,1975201.4249403,"65","20","2",7493.5751953125,0.000289219402475283,1.92816436290741,0.0761840492486954,-0.0519570335745811,3,0.000351243070326746,0.0300616268068552,-0.000158330760314129,7493.5751953125,0.790028274059296,0.860757052898407,0.000893357442691922,1.56186234951019,0.000219151770579629,5.5887770652771,730.733825683594,5.21807146072388,3.68820934681935e-07,0.278268218040466,14.2547454833984,76.9006271362305,11.2468299865723,0.217396944761276,0.135340929031372,0.585844993591309,0.122246086597443,0.133879020810127,297.25,14.68665599823,31,200,14,1210,3.7568142414093,-0.187611654400826,2433.42846679688,100,0.561889410018921,0.827212393283844,599.544555664062,3.23639678955078,0.0277850031852722,2.7548828125,393.3671875,71.7958984375,5.448974609375,140.69384765625,10.69384765625,268.48974609375,22.26513671875,0.097900390625,154.037841796875,10.994873046875,0.218017578125,31.91015625,74.42724609375,2.26171875,-0.982243239879608,544.987121582031,45.0294036865234,1.07958781719208,7.04401731491089,2.120276927948
"7494","D","KSSL",-995754.768505491,1977087.21491821,"65","20","2",1841.53698730469,0.0035633435472846,25.8542919158936,0.10867316275835,-0.0945689529180527,3,0.00107791891787201,0.172753259539604,-0.00048278144095093,1841.53698730469,1.88752961158752,0.124702408909798,0.021384047344327,1.57853090763092,0.000142254531965591,6.98220157623291,224.271682739258,4.1614990234375,8.85773806658108e-06,1.58027648925781,33.8910102844238,73.1695861816406,9.61474227905273,0.260083347558975,0.127081528306007,0.583217263221741,0.138678520917892,0.155875116586685,295.100006103516,13.1804256439209,4,200,36,203,3.0759174823761,0.569627463817596,2273.14282226562,100,0.983960628509521,0.178385689854622,583.95751953125,3.28160977363586,0.0365536361932755,2.28564453125,266.08154296875,86.9794921875,6.428466796875,124.265380859375,18.244873046875,215,52.122314453125,0.39990234375,18.2041015625,30.054443359375,1.091064453125,13.080078125,16.631591796875,14.239990234375,-0.821902930736542,582.915588378906,44.5450706481934,1.08699941635132,6.96973180770874,2.05091381072998
"7495","VD","KSSL",-994205.541867437,1977395.12618983,"65","20","2",2435.3642578125,0.000914473203010857,14.566632270813,0.048581063747406,-0.0243633799254894,3,0.000405328028136864,0.0619981400668621,-9.42739570746198e-05,2627.25170898438,2.9570415019989,0.302290141582489,0.00883479788899422,1.5712217092514,0.00025355804245919,3.19742822647095,139.434036254883,5.13307619094849,4.98937424708856e-07,0.420893907546997,10.9370050430298,76.8759765625,10.682258605957,0.10181736946106,0.0460272431373596,0.433888405561447,0.19970166683197,0.0297426022589207,297.700012207031,15.5707225799561,4,200,8,500,3.31231737136841,0.0471259132027626,2262.591796875,100,0.739644169807434,0.672998070716858,580.692199707031,3.28968238830566,0.0139151578769088,1.122314453125,286.367309570312,62.265380859375,2.346923828125,106.428466796875,5.632568359375,186.836669921875,16.918212890625,0.09375,61.597900390625,12.86279296875,0.251220703125,21.423828125,31.833251953125,3.6484375,-0.998888969421387,584.743591308594,47.3375396728516,1.09839820861816,7.20701026916504,2.41525840759277
"7496","D","KSSL",-929129.348775143,1974667.28909593,"65","21","1",166369.390625,-0.00470582256093621,-28.3576393127441,0.122868023812771,-0.0633510500192642,7,-0.00410293880850077,-0.291977971792221,-0.00447137793526053,146283.4375,0.0305766090750694,1.61411499977112,-0.0228830706328154,1.49994552135468,-0.00162500282749534,7.17037677764893,16528.810546875,6.21174907684326,2.01732655114029e-05,-1.57040655612946,22.274112701416,58.3114585876465,13.7613506317139,0.60895037651062,0.327668458223343,0.635339260101318,-0.271846830844879,0.300792038440704,293.299987792969,12.1841287612915,50,200,10,2158,5.39892673492432,-0.865799129009247,2344.9794921875,100,-0.258381992578506,0.966042876243591,452.769622802734,3.55293202400208,0.0593996718525887,1.3876953125,220.7548828125,42.428466796875,2.5712890625,118.87744140625,7.346923828125,200.612060546875,17.3671875,-0.224609375,1.599365234375,-10.6796875,-0.593505859375,-2.624267578125,31.43701171875,-5.9306640625,-0.500391721725464,440.093292236328,42.5572280883789,1.10212588310242,5.95994138717651,2.1529426574707
